Designator,Mid X,Mid Y,Layer,Rotation
C1,33.775000,21.000000,top,180.000000
C2,33.775000,19.500000,top,180.000000
C3,43.050000,20.225000,top,270.000000
C4,19.275000,16.000000,top,0.000000
C5,19.275000,18.000000,top,0.000000
C6,19.350000,24.500000,top,0.000000
C7,19.350000,26.500000,top,0.000000
C8,33.725000,15.500000,top,180.000000
C9,33.775000,23.000000,top,180.000000
C10,33.775000,25.000000,top,180.000000
C11,23.500000,25.775000,top,270.000000
C12,19.225000,20.000000,top,0.000000
C13,19.225000,22.000000,top,0.000000
C14,27.500000,13.725000,top,90.000000
C15,25.500000,13.725000,top,90.000000
C16,19.275000,28.500000,top,0.000000
C17,33.775000,27.000000,top,180.000000
C18,25.500000,25.775000,top,270.000000
C19,20.000000,4.450000,top,90.000000
C20,16.450000,8.000000,top,0.000000
C21,59.075000,29.650000,top,0.000000
C22,59.075000,31.650000,top,0.000000
C23,54.575000,21.650000,top,180.000000
C24,54.575000,19.650000,top,180.000000
C25,28.500000,34.575000,top,270.000000
C26,26.000000,34.575000,top,270.000000
C27,39.725000,34.050000,top,0.000000
C28,39.500000,36.500000,top,0.000000
C29,13.000000,4.500000,top,90.000000
C30,39.725000,27.550000,top,0.000000
C31,39.550000,25.500000,top,0.000000
D1,27.000000,2.787500,top,270.000000
D2,29.500000,2.787500,top,90.000000
D3,32.000000,2.787500,top,90.000000
R1,10.500000,15.825000,top,90.000000
R2,12.500000,15.825000,top,90.000000
R3,14.500000,15.825000,top,90.000000
R4,37.000000,20.325000,top,270.000000
R5,29.000000,25.675000,top,90.000000
R6,33.675000,17.500000,top,180.000000
R7,31.000000,25.675000,top,90.000000
R8,27.000000,6.325000,top,270.000000
R9,29.500000,6.325000,top,90.000000
R10,32.000000,6.325000,top,90.000000
R11,28.500000,30.675000,top,90.000000
R12,26.000000,30.675000,top,270.000000
R13,30.500000,30.675000,top,270.000000
R14,24.000000,30.675000,top,270.000000
R15,30.500000,34.525000,top,270.000000
R16,24.000000,34.525000,top,270.000000
R17,43.675000,30.397500,top,180.000000
R18,43.675000,32.397500,top,0.000000
R19,65.175000,32.000000,top,180.000000
R20,71.420000,16.462500,top,90.000000
R21,37.500000,6.365000,top,270.000000
R22,65.175000,23.500000,top,180.000000
R23,65.957500,16.462500,top,90.000000
RV1,65.000000,27.300000,top,270.000000
U1,26.801100,19.749999,top,270.000000
U3,39.485000,30.962500,top,270.000000
U4,56.850000,25.650000,top,270.000000
X1,40.300000,19.875000,top,90.000000
U5,16.444000,4.176000,top,180.000000