Designator,Mid X,Mid Y,Layer,Rot
J7,3.93,13.11,top,270.00
C1,10.00,6.95,top,90.00
C2,23.55,6.50,top,0.00
C3,23.27,8.50,top,180.00
C4,13.27,17.00,top,0.00
C5,32.25,15.50,top,90.00
C6,41.22,13.75,top,0.00
D1,2.00,2.287,top,270.00
D2,48.00,2.712,top,270.00
D3,50.50,2.787,top,270.00
D4,7.00,2.287,top,270.00
D5,4.50,2.287,top,270.00
D6,13.30,22.75,top,0.00
D7,22.00,15.25,top,0.00
D8,21.95,18.50,top,0.00
R1,13.25,18.75,top,0.00
R2,13.25,20.50,top,0.00
R3,7.00,5.82,top,270.00
R4,4.50,5.82,top,270.00
R5,2.00,5.82,top,270.00
R6,48.00,6.32,top,270.00
R7,50.50,6.32,top,270.00
R8,26.82,19.00,top,0.00
R9,27.50,7.32,top,90.00
R12,21.82,13.00,top,180.00
S1,4.00,22.50,top,0.00
U1,16.35,5.00,top,180.00
U2,13.887,14.00,top,270.00
U3,36.037,14.50,top,270.00
R10,15.939,10.16,top,0.00